"","r","lambda","lp__"
"336",-0.388916364225478,0.508826006997816,-3.28161574723764
"337",0.174534123801683,0.519027805867697,-3.26732708243297
"338",0.404288418751421,0.546418369937171,-3.31710517674093
"339",0.0612145317604849,0.154032643335366,-4.7557232744059
"340",0.500323717939057,0.172100781677243,-4.6871913448739
"341",0.655840818245204,0.133329267865894,-5.25530996894572
"342",1.36979814033047,0.139641650681638,-5.88898279046601
"343",1.36979814033047,0.139641650681638,-5.88898279046601
"344",0.667348313558872,0.227372030321905,-4.3389600756227
"345",-0.451694826540673,0.191546999192902,-4.45718497074738
"346",-1.25076266010453,0.539419244113488,-3.94837813278834
"347",0.280833242640841,1.1976996490295,-3.18482166704444
"348",0.568478067016943,0.170104021286959,-4.74411314623006
"349",-1.45857869039214,1.3974542157227,-4.07666694658286
"350",1.08963778605769,0.890650333041389,-3.70084704584538
"351",-1.42483574428089,1.01507557336797,-3.97786364149403
"352",0.263300706103321,0.359682792885554,-3.58648369271605
"353",-0.290275431058992,0.239130698419818,-4.05438283812557
"354",-0.171194626194762,2.86110042864539,-3.52704522964685
"355",-0.164417668150355,1.49427200636952,-3.06210723954786
"356",-0.274668031736803,0.885868390195864,-3.01464603538881
"357",0.798616316296691,0.380845301605747,-3.82034203694126
"358",0.276912189377461,0.200198037904515,-4.34676029959955
"359",0.205577656633579,0.241522543685185,-4.04692014802158
"360",-0.175367596672741,0.200062634473822,-4.30261543149512
"361",0.162015048413403,0.0827687022154461,-6.12110932127621
"362",0.159958371605207,0.0670909691625798,-6.66503761788012
"363",0.380309137422735,1.71215840225671,-3.4431672983146
"364",-0.0578699622656103,0.463768059275113,-3.29458966116258
"365",1.32193836067828,1.54197545485134,-4.18131968603416
"366",1.32193836067828,1.54197545485134,-4.18131968603416
"367",0.532140459364138,1.28753210404469,-3.3332509401734
"368",0.257076144705823,3.09088991388065,-4.13238919402956
"369",0.481321107973345,1.32300257938273,-3.31947900227211
"370",0.513084622116848,1.05506513849875,-3.25572252903647
"371",-0.515413057894804,0.571398946481667,-3.26433495005826
"372",-0.0387639117070683,0.47486603102864,-3.27861348490056
"373",0.294582426206174,0.690976465773062,-3.17725226117129
"374",-0.982710368173928,0.535934872090815,-3.65317748769778
"375",0.876963907493911,1.32780061330435,-3.59296975663105
"376",0.396935101933896,0.944760752458627,-3.18397395557962
"377",0.0615730085006097,1.01591804737374,-3.0444497364365
"378",-1.55123872702301,5.44922733265094,-5.76686891929818
"379",-0.8739229044894,2.3554323591179,-3.70937324297264
"380",-0.462768850736944,1.84012235895674,-3.24857827885161
"381",-0.428585692505518,1.56602711615442,-3.14868801539325
"382",-0.219826573765336,2.14574773333988,-3.27338690896949
"383",-0.291437684728953,0.476017509753879,-3.29837971047261
"384",-0.829576571988452,0.365206569327254,-3.83350014295661
"385",-2.60246560797576,0.203927633277309,-7.63924071696
"386",-1.78669100742748,1.27835090994541,-4.58456751121602
"387",-1.45484669218058,0.575262374839233,-4.18561478925384
"388",0.112322893105361,3.16003134045597,-3.94173541978545
"389",1.27247021647986,3.5895089911417,-5.31769825644994
"390",1.27247021647986,3.5895089911417,-5.31769825644994
"391",0.143408175300511,2.55546900939802,-3.69605324136713
"392",-0.210247445315819,1.07415419516767,-2.99407524334555
"393",1.34339089587183,1.57217717346271,-4.22602136548125
"394",1.26693548312363,1.27322653084722,-3.99502299008329
"395",0.292434523000225,1.46504059609959,-3.2865546944366
"396",-0.291687854419369,0.572246537765553,-3.17570455094004
"397",-0.189896644949643,1.19932779558406,-3.00363945293212
"398",-0.0779327366516356,2.06847596673185,-3.25287664152862
"399",0.142901921752657,0.993962502535975,-3.08195318673346
"400",-0.925821073063234,0.404022417572884,-3.81982168923298
"401",0.0663274242858947,2.87048505312812,-3.71870853313022
"402",-0.377964547067917,3.58261398511233,-3.87775667090035
"403",-1.08894359944202,0.961229850820152,-3.55749793451585
"404",0.819969707130771,0.704286417446396,-3.47203261160588
"405",0.920482935806189,0.48291432113019,-3.73568105012913
"406",0.850035408267529,1.0478599261113,-3.48547210250608
"407",-0.609142791294487,2.349095298681,-3.51047016967188
"408",-1.23516674293539,2.98276245457249,-4.33612066138092
"409",-1.68290235858703,0.162291875651311,-6.05994596553808
"410",-1.29381707176882,0.540027155085434,-4.00244034637523
"411",-0.74796626747365,0.508717078644403,-3.48488293494151
"412",-0.659716523646912,2.20960173365035,-3.4901922409053
"413",0.154313882236429,4.84566444896561,-4.90754032689526
"414",-0.105860231909387,7.09959575827696,-4.90965898218406
"415",-0.0400823849434899,9.03556038989603,-5.45990301010158
"416",-0.0400823849434899,9.03556038989603,-5.45990301010158
"417",0.758728459563641,0.0712149258488624,-6.78265256094733
"418",-0.934964888290064,2.86282413996115,-3.96259241118107
"419",0.712828315559581,0.435501508763299,-3.64109443999825
"420",0.387115031522616,0.558044135799036,-3.29882080811705
"421",0.607896894479144,1.52246975179498,-3.47449655968434
"422",-0.342333032407294,0.355344671601519,-3.57756097747908
"423",1.36078519484583,0.165423474624889,-5.56008050363584
"424",-0.870659096424819,0.8136157580983,-3.36768414159681
"425",1.00731493341406,0.546310345702915,-3.74483397791292
"426",-0.3488955893769,1.00375666586403,-3.02570453490091
"427",-0.375170625939321,0.349471056954374,-3.60660727986387
"428",0.0413142258022706,0.63900181034811,-3.1209905647098
"429",-0.527177161430589,1.39615549604839,-3.15184921619137
"430",0.559460145528566,3.21083911866915,-4.41845127715406
"431",0.559460145528566,3.21083911866915,-4.41845127715406
"432",-0.948987330996349,1.11715665239801,-3.41716537005304
"433",-1.07942413199836,1.24724912051712,-3.56568490658525
"434",-0.515517637527436,0.704821645579375,-3.16480818611582
"435",1.59975754720937,0.22541910301434,-5.44253860030735
"436",-1.53651031301503,0.831690779357439,-4.16432157861215
"437",1.72251104797068,0.202823895365043,-5.888367690084
"438",1.51189890698975,0.295182512832497,-4.93129190396605
"439",-0.362178889476408,0.958403355050896,-3.03205511465522
"440",-0.164257117151975,1.75093357169326,-3.13542226415103
"441",-0.192476653993094,1.38288915104834,-3.03709286941246
"442",-0.205783867746821,0.471972168016483,-3.28672854960154
"443",0.138989313786211,0.175372004215793,-4.53394425935014
"444",0.218694149429255,0.224143793833458,-4.1576395972083
"445",0.797829294238964,0.287254210572783,-4.12174513647649
"446",0.45805573984633,0.580235705709485,-3.31057571016989
"447",-1.08533128040648,2.29854174962971,-3.89492844433485
"448",0.0452021947889932,1.42858167520258,-3.11766402925797
"449",-0.950374913560685,0.340793028312515,-4.01405482992883
"450",-0.26932873385578,1.40083201776232,-3.05369315840298
"451",1.36891385024565,0.758395443780414,-4.06577609570996
"452",0.899388431729191,1.76230872307157,-3.81265161777196
"453",-1.36883929670823,0.474379135128256,-4.19288649977763
"454",-1.39069599674256,0.346221781406008,-4.51235862951735
"455",-0.0616013639502559,2.61021820172615,-3.45521591757801
"456",0.432010435959476,3.53942500985107,-4.5482767396754
"457",0.555280237934697,2.57561685797402,-4.02275158888664
"458",-0.0506656900578054,0.253825260299984,-3.93983009407118
"459",0.107236183731976,1.01984436080853,-3.06711397184992
"460",-0.921892321451137,1.58151490588934,-3.4856690305612
"461",-0.736504803704555,0.560497762084641,-3.41378615104116
"462",1.26806203482292,0.439139715188001,-4.18673493145786
"463",0.606007165477666,0.461107157012892,-3.52758024421543
"464",0.935117754748564,0.830091640662585,-3.54603726348691
"465",-1.2180756195421,1.66436535095309,-3.82702012471108
"466",1.2163597912334,0.811488453783809,-3.85239476752487
"467",1.2163597912334,0.811488453783809,-3.85239476752487
"468",-1.75491270328439,0.941883374943626,-4.50589859752369
